launch_year,cat,n,share
2014,cyberpunk,3,0.013761467889908258
2014,fantasy,53,0.24311926605504589
2014,historical,4,0.01834862385321101
2014,horror,22,0.10091743119266056
2014,other,97,0.44495412844036697
2014,post_apoc,6,0.027522935779816515
2014,scifi,15,0.06880733944954129
2014,superhero,16,0.07339449541284404
2014,western,2,0.009174311926605505
2015,cyberpunk,5,0.020491803278688523
2015,fantasy,65,0.26639344262295084
2015,historical,7,0.028688524590163935
2015,horror,32,0.13114754098360656
2015,other,97,0.3975409836065574
2015,scifi,21,0.0860655737704918
2015,superhero,14,0.05737704918032787
2015,western,3,0.012295081967213115
2016,cyberpunk,5,0.018315018315018316
2016,fantasy,55,0.20146520146520147
2016,historical,8,0.029304029304029304
2016,horror,26,0.09523809523809523
2016,other,129,0.4725274725274725
2016,post_apoc,16,0.05860805860805861
2016,scifi,22,0.08058608058608059
2016,superhero,11,0.040293040293040296
2016,western,1,0.003663003663003663
2017,cyberpunk,7,0.017587939698492462
2017,fantasy,92,0.23115577889447236
2017,historical,6,0.01507537688442211
2017,horror,44,0.11055276381909548
2017,other,198,0.49748743718592964
2017,post_apoc,16,0.04020100502512563
2017,scifi,17,0.04271356783919598
2017,superhero,13,0.032663316582914576
2017,western,5,0.01256281407035176
2018,cyberpunk,7,0.014989293361884369
2018,fantasy,116,0.24839400428265523
2018,historical,11,0.023554603854389723
2018,horror,43,0.09207708779443255
2018,other,220,0.47109207708779444
2018,post_apoc,13,0.027837259100642397
2018,scifi,38,0.08137044967880086
2018,superhero,17,0.03640256959314775
2018,western,2,0.004282655246252677
2019,cyberpunk,14,0.02204724409448819
2019,fantasy,153,0.2409448818897638
2019,historical,13,0.02047244094488189
2019,horror,54,0.08503937007874016
2019,other,332,0.5228346456692914
2019,post_apoc,17,0.026771653543307086
2019,scifi,29,0.045669291338582677
2019,superhero,20,0.031496062992125984
2019,western,3,0.004724409448818898
2020,cyberpunk,9,0.01164294954721863
2020,fantasy,175,0.22639068564036222
2020,historical,15,0.019404915912031046
2020,horror,63,0.0815006468305304
2020,other,424,0.5485122897800776
2020,post_apoc,18,0.02328589909443726
2020,scifi,43,0.055627425614489
2020,superhero,25,0.03234152652005175
2020,western,1,0.00129366106080207
2021,cyberpunk,19,0.023661270236612703
2021,fantasy,181,0.22540473225404734
2021,historical,12,0.014943960149439602
2021,horror,69,0.0859277708592777
2021,other,424,0.5280199252801993
2021,post_apoc,23,0.028642590286425903
2021,scifi,53,0.0660024906600249
2021,superhero,19,0.023661270236612703
2021,western,3,0.0037359900373599006
2022,cyberpunk,6,0.015789473684210527
2022,fantasy,89,0.23421052631578948
2022,historical,6,0.015789473684210527
2022,horror,28,0.07368421052631578
2022,other,220,0.5789473684210527
2022,post_apoc,6,0.015789473684210527
2022,scifi,15,0.039473684210526314
2022,superhero,10,0.02631578947368421
2023,cyberpunk,5,0.017123287671232876
2023,fantasy,86,0.2945205479452055
2023,historical,8,0.0273972602739726
2023,horror,30,0.10273972602739725
2023,other,146,0.5
2023,post_apoc,4,0.0136986301369863
2023,scifi,8,0.0273972602739726
2023,superhero,4,0.0136986301369863
2023,western,1,0.003424657534246575
2024,cyberpunk,17,0.014096185737976783
2024,fantasy,306,0.2537313432835821
2024,historical,30,0.024875621890547265
2024,horror,102,0.0845771144278607
2024,other,650,0.538971807628524
2024,post_apoc,22,0.01824212271973466
2024,scifi,41,0.03399668325041459
2024,superhero,26,0.02155887230514096
2024,western,12,0.009950248756218905
2025,cyberpunk,17,0.016553067185978577
2025,fantasy,240,0.23369036027263876
2025,historical,24,0.023369036027263874
2025,horror,120,0.11684518013631938
2025,other,529,0.5150925024342746
2025,post_apoc,14,0.013631937682570594
2025,scifi,41,0.03992210321324245
2025,superhero,35,0.034079844206426485
2025,western,7,0.006815968841285297
2026,cyberpunk,6,0.0158311345646438
2026,fantasy,84,0.22163588390501318
2026,historical,17,0.044854881266490766
2026,horror,51,0.1345646437994723
2026,other,193,0.5092348284960422
2026,post_apoc,3,0.0079155672823219
2026,scifi,16,0.04221635883905013
2026,superhero,7,0.018469656992084433
2026,western,2,0.005277044854881266
