launch_year,cat,n,share
2014,adventure,54,0.2297872340425532
2014,bestiary,13,0.05531914893617021
2014,gm_tools,4,0.01702127659574468
2014,other,18,0.07659574468085106
2014,rulebook,90,0.3829787234042553
2014,setting,46,0.19574468085106383
2014,supplement,10,0.0425531914893617
2015,adventure,89,0.3308550185873606
2015,bestiary,14,0.05204460966542751
2015,gm_tools,6,0.022304832713754646
2015,other,28,0.10408921933085502
2015,rulebook,78,0.2899628252788104
2015,setting,37,0.137546468401487
2015,supplement,17,0.06319702602230483
2016,adventure,97,0.31290322580645163
2016,bestiary,23,0.07419354838709677
2016,gm_tools,8,0.025806451612903226
2016,other,21,0.06774193548387097
2016,rulebook,93,0.3
2016,setting,52,0.16774193548387098
2016,supplement,16,0.05161290322580645
2017,adventure,138,0.31797235023041476
2017,bestiary,29,0.06682027649769585
2017,gm_tools,19,0.04377880184331797
2017,other,34,0.07834101382488479
2017,rulebook,124,0.2857142857142857
2017,setting,59,0.1359447004608295
2017,supplement,31,0.07142857142857142
2018,adventure,162,0.3103448275862069
2018,bestiary,48,0.09195402298850575
2018,gm_tools,15,0.028735632183908046
2018,other,48,0.09195402298850575
2018,rulebook,153,0.29310344827586204
2018,setting,59,0.11302681992337164
2018,supplement,34,0.06513409961685823
2018,zine,3,0.005747126436781609
2019,adventure,194,0.2709497206703911
2019,bestiary,56,0.0782122905027933
2019,gm_tools,25,0.034916201117318434
2019,other,60,0.08379888268156424
2019,rulebook,183,0.25558659217877094
2019,setting,86,0.12011173184357542
2019,supplement,36,0.05027932960893855
2019,zine,76,0.10614525139664804
2020,adventure,197,0.2334123222748815
2020,bestiary,60,0.07109004739336493
2020,gm_tools,20,0.023696682464454975
2020,other,71,0.08412322274881516
2020,rulebook,197,0.2334123222748815
2020,setting,75,0.08886255924170616
2020,supplement,62,0.07345971563981042
2020,zine,162,0.19194312796208532
2021,adventure,177,0.21096543504171633
2021,bestiary,54,0.06436233611442194
2021,gm_tools,15,0.017878426698450536
2021,other,52,0.06197854588796186
2021,rulebook,173,0.2061978545887962
2021,setting,75,0.08939213349225268
2021,supplement,62,0.073897497020262215
2021,zine,231,0.27532777115613827
2022,adventure,121,0.29584352078239606
2022,bestiary,55,0.13447432762836187
2022,gm_tools,11,0.02689486552567237
2022,other,39,0.09535452322738386
2022,rulebook,86,0.21026894865525672
2022,setting,33,0.08068459657701711
2022,supplement,27,0.06601466992665037
2022,zine,37,0.09046454767726161
2023,adventure,96,0.31683168316831684
2023,bestiary,41,0.1353135313531353
2023,gm_tools,7,0.0231023102310231
2023,other,32,0.10561056105610561
2023,rulebook,71,0.23432343234323433
2023,setting,25,0.08250825082508251
2023,supplement,24,0.07920792079207921
2023,zine,7,0.0231023102310231
2024,adventure,419,0.34092758340113916
2024,bestiary,130,0.10577705451586655
2024,gm_tools,28,0.022782750203417412
2024,other,113,0.0919446704637917
2024,rulebook,270,0.21969080553295361
2024,setting,92,0.07485760781122865
2024,supplement,93,0.07567127746135069
2024,zine,84,0.06834825061025224
2025,adventure,333,0.31092436974789917
2025,bestiary,107,0.09990662931839403
2025,gm_tools,25,0.02334267040149393
2025,other,99,0.09243697478991597
2025,rulebook,224,0.20915032679738563
2025,setting,98,0.0915032679738562
2025,supplement,98,0.0915032679738562
2025,zine,87,0.08123249299719888
2026,adventure,115,0.2948717948717949
2026,bestiary,37,0.09487179487179487
2026,gm_tools,15,0.038461538461538464
2026,other,24,0.06153846153846154
2026,rulebook,93,0.23846153846153847
2026,setting,30,0.07692307692307693
2026,supplement,41,0.10512820512820513
2026,zine,35,0.08974358974358974
