launch_year,cat,n,share
2014,agnostic_other,148,0.6788990825688074
2014,dnd5e,5,0.022935779816513763
2014,osr,13,0.05963302752293578
2014,other_named,23,0.10550458715596331
2014,pathfinder,27,0.12385321100917432
2014,pbta_fitd,2,0.009174311926605505
2015,agnostic_other,141,0.5778688524590164
2015,dnd5e,29,0.11885245901639344
2015,osr,18,0.07377049180327869
2015,other_named,25,0.10245901639344263
2015,pathfinder,30,0.12295081967213115
2015,pbta_fitd,1,0.004098360655737705
2016,agnostic_other,142,0.5201465201465202
2016,dnd5e,46,0.1684981684981685
2016,osr,26,0.09523809523809523
2016,other_named,23,0.08424908424908426
2016,pathfinder,34,0.12454212454212454
2016,pbta_fitd,2,0.007326007326007326
2017,agnostic_other,210,0.5276381909547738
2017,dnd5e,85,0.2135678391959799
2017,osr,20,0.05025125628140704
2017,other_named,36,0.09045226130653267
2017,pathfinder,42,0.10552763819095477
2017,pbta_fitd,5,0.01256281407035176
2018,agnostic_other,250,0.5353319057815846
2018,dnd5e,104,0.22269807280513917
2018,osr,36,0.07708779443254818
2018,other_named,27,0.057815845824411134
2018,pathfinder,38,0.08137044967880086
2018,pbta_fitd,12,0.02569593147751606
2019,agnostic_other,331,0.521259842519685
2019,dnd5e,154,0.24251968503937008
2019,osr,77,0.12125984251968504
2019,other_named,29,0.045669291338582677
2019,pathfinder,32,0.050393700787401574
2019,pbta_fitd,12,0.01889763779527559
2020,agnostic_other,432,0.5588615782664942
2020,dnd5e,209,0.2703751617076326
2020,osr,76,0.09831824062095731
2020,other_named,17,0.02199223803363519
2020,pathfinder,26,0.03363518758085381
2020,pbta_fitd,13,0.016817593790426907
2021,agnostic_other,402,0.5006226650062267
2021,dnd5e,237,0.29514321295143214
2021,osr,124,0.15442092154420922
2021,other_named,20,0.024906600249066
2021,pathfinder,10,0.012453300124533
2021,pbta_fitd,10,0.012453300124533
2022,agnostic_other,170,0.4473684210526316
2022,dnd5e,123,0.3236842105263158
2022,osr,66,0.1736842105263158
2022,other_named,14,0.03684210526315789
2022,pathfinder,5,0.013157894736842105
2022,pbta_fitd,2,0.005263157894736842
2023,agnostic_other,113,0.386986301369863
2023,dnd5e,114,0.3904109589041096
2023,osr,42,0.14383561643835616
2023,other_named,10,0.03424657534246575
2023,pathfinder,12,0.0410958904109589
2023,pbta_fitd,1,0.003424657534246575
2024,agnostic_other,437,0.3623548922056385
2024,dnd5e,505,0.4187396351575456
2024,osr,163,0.1351575456053068
2024,other_named,57,0.0472636815920398
2024,pathfinder,41,0.03399668325041459
2024,pbta_fitd,3,0.0024875621890547263
2025,agnostic_other,390,0.379746835443038
2025,dnd5e,408,0.39727361246348586
2025,osr,159,0.15481986368062317
2025,other_named,36,0.035053554040895815
2025,pathfinder,29,0.028237585199610515
2025,pbta_fitd,5,0.004868549172346641
2026,agnostic_other,163,0.43007915567282323
2026,dnd5e,121,0.31926121372031663
2026,osr,77,0.20316622691292877
2026,other_named,13,0.03430079155672823
2026,pathfinder,4,0.010554089709762533
2026,pbta_fitd,1,0.002638522427440633
