grp,launch_year,product_type,n,share
D&D 5e books,2015,rulebook,2,0.06896551724137931
D&D 5e books,2015,setting,2,0.06896551724137931
D&D 5e books,2015,adventure,21,0.7241379310344828
D&D 5e books,2015,bestiary,1,0.034482758620689655
D&D 5e books,2015,other,3,0.10344827586206896
D&D 5e books,2016,rulebook,3,0.06521739130434782
D&D 5e books,2016,setting,4,0.08695652173913043
D&D 5e books,2016,adventure,22,0.4782608695652174
D&D 5e books,2016,supplement,3,0.06521739130434782
D&D 5e books,2016,bestiary,9,0.1956521739130435
D&D 5e books,2016,gm_tools,1,0.021739130434782608
D&D 5e books,2016,other,4,0.08695652173913043
D&D 5e books,2017,rulebook,3,0.03529411764705882
D&D 5e books,2017,setting,4,0.047058823529411764
D&D 5e books,2017,adventure,52,0.611764705882353
D&D 5e books,2017,supplement,9,0.10588235294117647
D&D 5e books,2017,bestiary,7,0.08235294117647059
D&D 5e books,2017,gm_tools,1,0.011764705882352941
D&D 5e books,2017,other,9,0.10588235294117647
D&D 5e books,2018,rulebook,5,0.04807692307692308
D&D 5e books,2018,setting,11,0.10576923076923077
D&D 5e books,2018,adventure,47,0.4519230769230769
D&D 5e books,2018,supplement,8,0.07692307692307693
D&D 5e books,2018,bestiary,18,0.17307692307692307
D&D 5e books,2018,gm_tools,1,0.009615384615384616
D&D 5e books,2018,other,14,0.1346153846153846
D&D 5e books,2019,rulebook,10,0.06493506493506493
D&D 5e books,2019,setting,19,0.12337662337662338
D&D 5e books,2019,adventure,62,0.4025974025974026
D&D 5e books,2019,supplement,15,0.09740259740259741
D&D 5e books,2019,bestiary,17,0.11038961038961038
D&D 5e books,2019,gm_tools,1,0.006493506493506494
D&D 5e books,2019,zine,11,0.07142857142857142
D&D 5e books,2019,other,19,0.12337662337662338
D&D 5e books,2020,rulebook,7,0.03349282296650718
D&D 5e books,2020,setting,25,0.11961722488038277
D&D 5e books,2020,adventure,77,0.3684210526315789
D&D 5e books,2020,supplement,26,0.12440191387559808
D&D 5e books,2020,bestiary,32,0.15311004784688995
