launch_year,ttrpg_label,n,success_rate,median_pledged
2015,ttrpg,269,1.0,8318.11
2015,ttrpg_accessory,28,1.0,11834.36585712
2016,ttrpg,310,1.0,9604.740283930001
2016,ttrpg_accessory,52,1.0,6853.498507925
2017,ttrpg,434,1.0,7774.0
2017,ttrpg_accessory,79,1.0,6719.0946628
2018,ttrpg,522,1.0,8891.42
2018,ttrpg_accessory,106,1.0,8194.5
2019,ttrpg,716,1.0,7133.05019002
2019,ttrpg_accessory,141,1.0,8043.7980640843
2020,ttrpg,844,1.0,6581.79834545
2020,ttrpg_accessory,219,1.0,7070.86286352
2021,ttrpg,839,1.0,6317.0
2021,ttrpg_accessory,202,1.0,5353.207027435999
2022,ttrpg,416,0.9831730769230769,9019.0
2022,ttrpg_accessory,198,0.9848484848484849,2832.604795025
2023,ttrpg,311,0.9742765273311897,4910.0
2023,ttrpg_accessory,247,0.9919028340080972,1802.0
2024,ttrpg,1291,0.9519752130131681,3852.0
2024,ttrpg_accessory,924,0.9686147186147186,1897.7640711200002
2025,ttrpg,1156,0.9264705882352942,3769.6119965
2025,ttrpg_accessory,750,0.972,1666.99335203
2026,ttrpg,412,0.9466019417475728,3406.51606774
2026,ttrpg_accessory,280,0.9821428571428571,1585.66812475
