launch_year,status,n,share
2014,new (first seen),197,0.9120370370370371
2014,returning,19,0.08796296296296297
2015,new (first seen),187,0.6875
2015,returning,85,0.3125
2016,new (first seen),183,0.5335276967930029
2016,returning,160,0.46647230320699706
2017,new (first seen),216,0.47577092511013214
2017,returning,238,0.5242290748898678
2018,new (first seen),256,0.4740740740740741
2018,returning,284,0.5259259259259259
2019,new (first seen),381,0.5204918032786885
2019,returning,351,0.47950819672131145
2020,new (first seen),470,0.5529411764705883
2020,returning,380,0.4470588235294118
2021,new (first seen),493,0.5483870967741935
2021,returning,406,0.45161290322580644
2022,new (first seen),186,0.4161073825503356
2022,returning,261,0.5838926174496645
2023,new (first seen),222,0.5138888888888888
2023,returning,210,0.4861111111111111
2024,new (first seen),634,0.4477401129943503
2024,returning,782,0.5522598870056498
2025,new (first seen),574,0.38420348058902276
2025,returning,920,0.6157965194109772
2026,new (first seen),214,0.3651877133105802
2026,returning,372,0.6348122866894198
