launch_year,class,n_funded,median_pledged,median_backers
2015,ttrpg,242,7945.96639163,188.5
2015,ttrpg_accessory,34,8491,181
2016,ttrpg,263,9722,252
2016,ttrpg_accessory,75,7017,154
2017,ttrpg,382,7668.5,214
2017,ttrpg_accessory,104,6685.0473314,116.5
2018,ttrpg,446,8724.5,257
2018,ttrpg_accessory,145,8532,171
2019,ttrpg,604,6882.5650000000005,243
2019,ttrpg_accessory,196,6374.83339971855,155
2020,ttrpg,732,6040.583712019999,273
2020,ttrpg_accessory,279,7804,199
2021,ttrpg,781,6121.69,252
2021,ttrpg_accessory,219,5828.1703599623,193
2022,ttrpg,369,8831.2605602,338
2022,ttrpg_accessory,204,3549.57706452635,158
2023,ttrpg,280,4961.26379968,276
2023,ttrpg_accessory,239,2295.28434537,110
2024,ttrpg,1145,4090.3256097,201
2024,ttrpg_accessory,842,2390.122331015,105
2025,ttrpg,984,4408.4832957,174.5
2025,ttrpg_accessory,674,2025.8331041850001,71
2026,ttrpg,362,3722.4642141,139.5
2026,ttrpg_accessory,264,1728,68.5
