launch_year,class,median_goal,median_duration
2014,TTRPG (core),3096.92879,30
2014,TTRPG accessory,1000,30.020833333333332
2015,TTRPG (core),3000,30
2015,TTRPG accessory,2393.3327675,30
2016,TTRPG (core),4000,30
2016,TTRPG accessory,2000,29.958333333333332
2017,TTRPG (core),3301.3309824999997,30
2017,TTRPG accessory,1271.94098,23.50392361111111
2018,TTRPG (core),3000,30
2018,TTRPG accessory,1957.91526,29.958333333333332
2019,TTRPG (core),2000,30
2019,TTRPG accessory,1352.14986,29.46704861111111
2020,TTRPG (core),1300,24.035671296296297
2020,TTRPG accessory,1100.619037,30
2021,TTRPG (core),1213.74984,21
2021,TTRPG accessory,1014.558921,28.041666666666664
2022,TTRPG (core),1500,27.60673611111111
2022,TTRPG accessory,531.66161,28
2023,TTRPG (core),751.0071350000001,30
2023,TTRPG accessory,136.56178008999998,16.47410300925926
2024,TTRPG (core),600,29.04163773148148
2024,TTRPG accessory,180.24865648,21
2025,TTRPG (core),661.352915,29.958333333333332
2025,TTRPG accessory,133.7644,20
2026,TTRPG (core),582.20163,28
2026,TTRPG accessory,118.411439,15.222592592592592
