launch_year,ttrpg_musd,tabletop_musd,games_musd,n_ttrpg,ttrpg_share_games,tabletop_share_games
2014,6.446550760375651,49.27918339355758,75.69450379238556,235,0.08516537446440249,0.6510272334794642
2015,9.742579784189504,85.29642678394436,132.99850791246624,269,0.07325330138742339,0.6413337121051216
2016,10.21095176607965,113.18453166374684,135.71094445923774,310,0.07524044436332561,0.8340118191259295
2017,13.071103711549176,124.82287105844674,149.49267913839557,434,0.08743641352128263,0.834976480305699
2018,17.697196747426084,165.5872530554813,191.96791786197383,522,0.09218830388185219,0.8625777416335766
2019,25.872082860555583,178.51798150572327,210.7514221401771,716,0.12276113061456488,0.8470546945442939
2020,38.02760317395916,235.62549590905786,285.76260172963686,844,0.13307410747168902,0.8245497993190366
2021,41.38864351762437,184.67216972989831,229.38763789227625,839,0.18043101144387333,0.8050659199717773
2022,27.096413348549213,102.46532739646516,144.11869587630488,409,0.18801456107960965,0.7109787302294891
2023,12.638755707294353,43.689590263700985,85.72345411004763,303,0.1474363794425424,0.5096573711042302
2024,56.61345712941632,192.88797303994247,234.85656267750161,1229,0.24105546161448474,0.8213011841819842
2025,35.61770968693849,123.55988429823694,168.12090730591643,1071,0.21185770561021144,0.734946570764127
2026,14.64901923786217,65.09248371657759,84.04650217585181,390,0.1742965960345595,0.7744817693945617
