era,launch_month,n,share
2014-2018,1,147,0.07810839532412327
2014-2018,2,149,0.07917109458023379
2014-2018,3,193,0.10255047821466524
2014-2018,4,142,0.07545164718384698
2014-2018,5,163,0.08660998937300744
2014-2018,6,153,0.08129649309245483
2014-2018,7,148,0.07863974495217853
2014-2018,8,145,0.07704569606801276
2014-2018,9,198,0.10520722635494155
2014-2018,10,216,0.11477151965993623
2014-2018,11,134,0.07120085015940489
2014-2018,12,94,0.04994686503719448
2019+ (ZineQuest era),1,494,0.06920706080134491
2019+ (ZineQuest era),2,1548,0.21686746987951808
2019+ (ZineQuest era),3,683,0.09568506584477444
2019+ (ZineQuest era),4,639,0.08952087419445223
2019+ (ZineQuest era),5,546,0.07649201456990753
2019+ (ZineQuest era),6,488,0.06836648921266461
2019+ (ZineQuest era),7,430,0.060240963855421686
2019+ (ZineQuest era),8,436,0.06108153544410199
2019+ (ZineQuest era),9,555,0.07775287195292799
2019+ (ZineQuest era),10,646,0.09050154104791258
2019+ (ZineQuest era),11,454,0.0636032502101429
2019+ (ZineQuest era),12,219,0.030680862986831044
