term,coef,se,p_value,mult_effect,pct_effect
log10_goal,0.6660939760950437,0.014302496775716949,0,4.6354721491869695,363.54721491869697
duration_days,0.007261020185300747,9.769984309436408e-4,1.281323123947999e-13,1.016859663451767,1.6859663451767037
has_video,0.05342949359283216,0.023199800754101937,0.021324990543896423,1.1309137739685637,13.091377396856373
staff_pick,0.418709203359368,0.021625674318564388,3.548082217488278e-80,2.6224619967529357,162.24619967529355
blurb_words,0.0012587735184875976,0.0014491133874298733,0.3850861195918134,1.0029026376576469,0.2902637657646867
title_words,0.0033273605905106123,0.0025430209913683563,0.19079727549052306,1.0076909555204419,0.7690955520441856
country_us,-0.043778125821785245,0.019254441028622594,0.02303477552417499,0.9041112518859585,-9.588874811404146
class_accessory,0.052516748610107106,0.021595148261676116,0.015060927806516041,1.1285394589255962,12.853945892559615
creator_prior_funded,0.004236347403704597,0.0019094755011989533,0.026565961260666564,1.0098022810780032,0.9802281078003183
creator_is_repeat,0.14675801944634234,0.013312467846821887,6.826793605780702e-28,1.4020323013894942,40.20323013894942
is_dnd5e,0.04034542057321107,0.017947101109163727,0.02462492075197576,1.0973506382361966,9.735063823619662
is_osr,0.014313694894494335,0.026896579907381122,0.5946318073193453,1.033507648290068,3.3507648290068026
is_pbta,-0.047766208277338025,0.04176462774634494,0.2528110298361191,0.8958468928463997,-10.415310715360027
is_zine,-0.13539646540641614,0.02338705029535617,7.562537728412902e-9,0.7321558463084297,-26.78441536915703
