term,estimate,std_error,p_value,odds_ratio
(Intercept),6.614697911966745,1.0800729959315598,9.107950719793066e-10,745.9793448611399
log10_goal,-0.8256632188752575,0.021425365444502364,0,0.43794444310570785
duration_days,-0.05694362787456291,0.0014326843229528034,0,0.9446473196427904
launch_year2010,-1.1444594978382558,1.1198056106112921,0.3067732233738804,0.3183959649976587
launch_year2011,-1.1142676540927532,1.0838963718755097,0.3039402003565853,0.328155514268972
launch_year2012,-1.1603265004103476,1.0776221057091662,0.2815932545678934,0.31338384422329857
launch_year2013,-1.0697260705618776,1.0764986603176434,0.3203647121625614,0.3431024904195524
launch_year2014,-1.0712156735251068,1.0763880196970206,0.31964156944237027,0.34259178440216503
launch_year2015,-1.0590579923772916,1.076284535646552,0.3251182496667595,0.346782328111294
launch_year2016,-0.941435875577354,1.0762201022484508,0.3817037073785653,0.3900673448834861
launch_year2017,-0.8067293795675986,1.0761830284828922,0.45348300968196764,0.4463154100139432
launch_year2018,-0.6652557206541245,1.0762131683272609,0.536479803112353,0.5141420341572527
launch_year2019,-0.5508485617570404,1.0761699775897164,0.608748866472882,0.5764604404953154
launch_year2020,-0.5240647001023107,1.0761595380754965,0.6262747904751033,0.5921089048614164
launch_year2021,-0.4023300490864996,1.0761275809344435,0.7085022605552467,0.6687599856391764
launch_year2022,-0.4646165438291722,1.076105984054622,0.6659178644026755,0.6283760136578068
launch_year2023,-0.4540797093734812,1.0760482932797324,0.6730336121134799,0.6350321132166246
