term,estimate,std_error,p_value,odds_ratio
(Intercept),4.744585414466324,0.9143186530433722,2.1119566757444662e-7,114.96013481316001
log10_goal,-0.7740806396059354,0.03695328502754533,1.9755215064755064e-97,0.4611275285671309
duration_days,-0.033840555307402584,0.0022915041410434735,2.361780794316447e-49,0.9667256316209752
launch_year2010,-1.0694542135167602,0.9441967166304299,0.2573569011183025,0.34319577792862904
launch_year2011,-0.7064946043796806,0.9077318689982766,0.4363877013634538,0.4933706290224809
launch_year2012,-0.6535441145328058,0.9014674742404628,0.4684655080932857,0.5201988615096185
launch_year2013,-0.46215882497965183,0.9005456141357172,0.6078123457063793,0.6299222846024448
launch_year2014,-0.4045820166197264,0.9005757807109211,0.6532526460649983,0.6672556543523545
launch_year2015,-0.36332430699365914,0.9005381208906142,0.686615411779991,0.6953608865292236
launch_year2016,-0.211802064623774,0.9006310814055274,0.814076226708021,0.8091248361462884
launch_year2017,-0.07345743131063706,0.9007754985311434,0.9350052786281117,0.929175698741338
us,0.24710739255214373,0.050285209866326765,8.918359153211044e-7,1.280316601862912
is_ttrpg,0.636714709002248,0.07778563642454711,2.7116432726517584e-16,1.89026061103512
