launch_year,n,cpi,total_nom,total_real,proj_med_nom,proj_med_real,proj_mean_nom,proj_mean_real,proj_med_real_nozine,pledge_med_nom,pledge_med_real,pledge_mean_nom,pledge_mean_real
2015,242,237.017,6970390.425030494,9467963.92075502,7945.96639163,10793.100317785378,28803.26621913427,39123.81785435958,10793.100317785378,41.00762578636156,55.70114408898348,49.82695191792522,67.68053929174954
2016,263,240.007,9572656.114983514,12840665.595695697,9722,13040.99399600845,36397.931996135034,48823.82355777832,13040.99399600845,40.67032967032967,54.55477525678395,48.45126898936077,64.99204978288873
2017,382,245.12,10670718.495948635,14015025.802632146,7668.5,10071.882732947128,27933.81805222156,36688.54922155012,10071.882732947128,38.12917267383831,50.079227472803225,46.70145523279475,61.33814703823286
2018,446,251.107,14837394.689421812,19022947.821034566,8724.5,11185.63681418678,33267.701097358324,42652.34937451696,11187.559956512561,35.84086180963035,45.951385559055794,43.96262218001062,56.36425297781089
2019,604,255.657,20471766.8345828,25779626.726536293,6882.5650000000005,8667.056344222923,33893.653699640396,42681.50120287466,10102.423213808914,29.769457325479383,37.487995242597734,37.9878475768345,47.83722570643021
2020,732,258.811,24843663.145413354,30903800.24042182,6040.583712019999,7514.068729686354,33939.43052652098,42218.306339374074,12547.487922653556,25.533470690235646,31.761873160053224,34.068905248684274,42.37936394696192
2021,781,270.97,37421105.30746382,44460504.506036915,6121.69,7273.259931616045,47914.3473847168,56927.66261976558,12238.752788131525,23.473684210526315,27.88939113477312,33.567500578563525,39.88198634079225
2022,369,292.655,20416839.875887956,22460093.557817213,8831.2605602,9715.065584160424,55330.18936555002,60867.462216306805,10080.825078595268,28.772455089820358,31.651912692358017,39.33088163672776,43.26699365045205
2023,280,304.702,12263487.862460095,12957394.677107437,4961.26379968,5241.987750196514,43798.170937357485,46276.40956109799,5432.422283083144,26.399507748831383,27.893275144836664,38.31258993998298,40.4804370927921
2024,1145,313.689,53412774.80609528,54818208.35094228,4090.3256097,4197.953061037037,46648.71162104391,47876.16449863954,4581.997550722594,24.662337662337663,25.311269996799293,38.78098835491011,39.80142030464831
2025,984,321.943,30310228.82922606,30310228.82922606,4408.4832957,4408.4832957,30803.07807848177,30803.07807848177,4779.28681906,28.921900438465073,28.921900438465073,41.16106314675689,41.16106314675689
