class,term,coef,se
content (book),log10_goal,-1.0146324184980213,0.15111220124504723
content (book),duration_days,0.0012153983006101196,0.010854262347930375
content (book),country_us,0.20225032649073615,0.2048750587692972
content (book),title_words,0.06316846904257438,0.03205451613120194
content (book),is_dnd5e,0.5330804112081291,0.24014221356061874
physical accessory,log10_goal,-0.7845339161609511,0.11481571881814372
physical accessory,duration_days,-0.02778494903553662,0.0075089517748390105
physical accessory,country_us,-0.21066849977348273,0.15711927591061678
physical accessory,title_words,0.023304879411223806,0.029169347566655592
physical accessory,is_dnd5e,-0.6168184814514216,0.9755469146397325
