term,beta,se,p,axis,level,OR,lo,hi
system_familydnd5e,0.3852385758234704,0.3006353682647532,0.2000480487134042,system,dnd5e,1.4699649777154575,0.8154568701167147,2.6497992903054883
system_familypathfinder,0.4295393346354836,0.24374647148131995,0.07802906636805061,system,pathfinder,1.5365495253384878,0.9529396063583278,2.477580350385968
system_familyosr,0.7234729838338997,0.590296327670448,0.22034553558738748,system,osr,2.061580628221014,0.6482312244646916,6.556479426250857
system_familyother_named,1.3141576481694057,0.3466812738371201,1.5023562492337927e-4,system,other_named,3.7216147555301498,1.8863850987206405,7.3423058727367945
product_typeadventure,0.5467076165008302,0.24258233765272844,0.024215098720919245,product type,adventure,1.7275558679789493,1.073845611370133,2.7792163467340565
product_typesetting,0.08556528987156338,0.26970116427206936,0.7510466116521723,product type,setting,1.0893326814131896,0.6420757496767967,1.8481397115405378
product_typesupplement,0.4334542523891112,0.35211349728661556,0.21832016928288603,product type,supplement,1.5425767807610937,0.773609385797924,3.0758974338049514
product_typebestiary,1.6246717981873038,0.7520968113617625,0.03075798586970563,product type,bestiary,5.0767525643311116,1.1624874327906214,22.170920624554082
product_typegm_tools,-0.2032921778667576,0.510570840477891,0.6905074964850055,product type,gm_tools,0.8160397778289384,0.29998853395587616,2.2198212385579055
product_typeother,-0.056540844367009284,0.19558860728397393,0.7725198069769948,product type,other,0.9450278846411045,0.6441043610778293,1.3865419281664002
