term,coef
diorama building,0.5209879250701805
dnd supplement,0.4897638636021753
printable scenery,0.4567681729021804
adaptable encounters,0.4438783805520489
scale pin,0.4163902203492288
asgard rising,0.35907405318064184
miniatures wargames,0.2993590593673483
wargames pre,0.29917013969579326
dimgaard vol,0.2860773093029999
soft,0.27789197167191015
root,0.2506212145093761
premium,0.24128934290404505
printer,0.2372677543920013
softcov,0.22898665933888918
miniature role,0.226824363631805
forbidden lands,0.2264145748559674
feat,0.2256443470635789
dcc pathfinder,0.22548096527775882
printable fantasy,0.2167663373247656
miniatures figures,0.2167521207939756
grimoir,0.20981868434502104
files terrain,0.20427464391131284
limitless,0.20016409702329466
dungeon crawling,0.19887125015463988
entir,0.1958975358387245
printable models,0.19403530743014322
edition campaign,0.19261379857649988
french,0.18958264274780032
trove,0.18898051130425308
mothership sci,0.18595774549984534
games collectors,0.18390576680471837
await,0.18243566721797472
pinup,0.17776611105095
approach,0.1741362634884509
world setting,0.17115055471878915
loop,0.1700302435899311
traveller rpg,0.16979972732404205
stronghold,0.16894017334328343
scale resin,0.16773856997895364
hors,0.1643173995184125
greec,0.16035079406899547
epic campaign,0.15631599500266577
folk horror,0.15614588482818859
rift,0.1559316834059164
detailed fantasy,0.1555521599139226
award,0.15487845901903277
celebr,0.15429798963185665
frost,0.15287497816659668
rpg wargaming,0.15237571738790773
heavi,0.1504803248057344
mothership,0.1496849616462713
summon,0.1456254036531281
adventure pack,0.14545673741118859
miniature collectors,0.14456174089228183
offici,0.1432340281234576
oldschool,0.14136116356931622
fantasy trip,0.14005440057817614
scenery set,0.13886943059296503
mech,0.13758972640702985
player options,0.136581832509964
officially licensed,0.13364314685253326
found,0.13346463597240363
cut uncut,0.13225307590646682
enni,0.12755095436863928
maker,0.1264244965098362
stat blocks,0.12597051740324533
shadowdark rpg,0.12593200534911173
boxed set,0.12491093988629828
massiv,0.12378797244584838
dungeon master,0.12071779615783815
character options,0.11975821050961226
befriend,0.11934604819895725
polyhedral dice,0.11920501000497168
stl terrain,0.11751598072334186
gm screen,0.11668760619902735
tabletop wargames,0.11296594345589021
rolling tray,0.11288784165905884
steve,0.11065633856385594
replac,0.10919265866646052
ring,0.10878996622743176
themat,0.10852856685419943
period,0.10754257602148604
page,0.10676567157991838
usabl,0.10579024082621852
divers,0.10574468764125582
varieti,0.10499637279865112
mystic,0.10434792897816834
afford,0.10384736620323987
alik,0.09912901156570225
craft,0.09803342631907984
loot,0.09484491326855489
pratheron,0.09431431388260936
rpg wargames,0.09355640155666349
societi,0.09328545923727131
rpg stl,0.09211925467539207
mytho,0.09038406992073757
prep,0.08816921986656918
green,0.08814507175879253
perfect,0.08793320644673577
iii,0.08744559624560336
arsen,0.08733826519183133
possibl,0.086070013083778
presupport,0.0858115912862001
tomb,0.08514359216033096
companion,0.08341423081151385
favourit,0.08284200307152942
plane,0.08259758244254078
tome,0.0821494886600535
stl pack,0.08142964789739479
hex,0.08110136482360718
mine,0.0793076101909049
hollow,0.07923022549243523
store,0.07915421887236071
broken,0.07901063656747634
balanc,0.07865678168101413
printable figures,0.07843745479456146
fantast,0.07734218172368804
exclus,0.07516619025607948
armi,0.07515128464473624
improv,0.07511050436458447
dieselpunk,0.07497553069310621
cult,0.07463488395416794
ocean,0.07352202385949426
terrain,0.07338002354569016
wargaming dnd,0.07287510830738511
settlement,0.07280201281517201
clan,0.07168579445307498
dragons rpg,0.07139627539593148
children,0.07051486361193238
level encounter,0.07038323906584214
carri,0.06951752979975856
vision,0.06873717935021006
brave,0.06804809552298056
dice towers,0.06800277254966831
cyberpunk tabletop,0.0674897395545799
borg,0.06729188379194412
supported miniatures,0.06694122955754411
doom,0.06679952694137607
plan,0.06573828766828033
gothic horror,0.06567633451310535
advanc,0.06498360171872462
desir,0.06494784898198147
guild,0.0641287102902699
mat,0.06348553527296613
cthulhu,0.06304489123204776
dnd rpg,0.06259899596039947
hit,0.06244598254276648
town,0.062048161209232976
printable files,0.06197645593099402
heroin,0.0613071384084813
essenti,0.05922666308050477
legendari,0.059119643610235945
thousand,0.05896547558923694
dimgaard,0.05888773696909236
fantasy girls,0.05834538641681746
source book,0.05833947503306717
blade,0.05758261579736039
rules light,0.05721075777257635
ideal,0.05678672766305365
ravag,0.05596238544498026
addit,0.055861839834689106
handcraft,0.05574877167105854
codex,0.05453065050923594
dnd roleplay,0.052870197053783624
thiev,0.052519291903777125
drop,0.05232654837584384
micro,0.05214475679229908
discov,0.05157333735040433
cook,0.05143094242231927
reprint,0.05093392217793986
adult,0.050633617085455454
adapt,0.05019525966229912
adventure inspired,0.05016668673038816
versatil,0.05000267495636579
grim,0.0498811968062602
poison,0.049428121151548675
qualiti,0.04900622999267125
tavern,0.0487601372181961
female miniatures,0.04854603825776385
built,0.04712351139346552
classes spells,0.04685633166545248
ladi,0.046542968899113905
edition adventures,0.04648159018277734
cthulhu mythos,0.04638267531070869
wilder,0.04609661831304737
necromanc,0.046053116257152325
adventure game,0.04591103439435637
samurai,0.04568565409556276
celtic,0.04480772236747138
hour,0.04464015664866161
delux,0.04408236190566639
underworld,0.04398632190326439
fantasy setting,0.04374173819352682
printabl,0.0436649514073708
build,0.0430208219508761
hoard,0.04270448296962853
bestiari,0.04244455856742451
