band,category,share
<$25,apparel,0
<$25,art,0.058544303797468354
<$25,cards,0.071202531645569625
<$25,dice,0.007911392405063292
<$25,gm_screen,0.012658227848101266
<$25,map,0.03164556962025317
<$25,minis,0.006329113924050633
<$25,other_phys,0.01740506329113924
$25-50,apparel,0.0029154518950437317
$25-50,art,0.06705539358600583
$25-50,cards,0.119533527696793
$25-50,dice,0.027696793002915453
$25-50,gm_screen,0.027696793002915453
$25-50,map,0.048104956268221574
$25-50,minis,0.016034985422740525
$25-50,other_phys,0.026239067055393587
$50-100,apparel,0.02240566037735849
$50-100,art,0.10023584905660378
$50-100,cards,0.14622641509433962
$50-100,dice,0.08372641509433962
$50-100,gm_screen,0.06485849056603774
$50-100,map,0.09669811320754718
$50-100,minis,0.02358490566037736
$50-100,other_phys,0.045990566037735846
$100-250,apparel,0.032059186189889025
$100-250,art,0.13686806411837238
$100-250,cards,0.2034525277435265
$100-250,dice,0.11960542540073983
$100-250,gm_screen,0.1159062885326757
$100-250,map,0.14180024660912455
$100-250,minis,0.06411837237977805
$100-250,other_phys,0.07151664611590629
$250-500,apparel,0.043010752688172046
$250-500,art,0.15770609318996415
$250-500,cards,0.2222222222222222
$250-500,dice,0.16845878136200718
$250-500,gm_screen,0.13620071684587814
$250-500,map,0.15053763440860216
$250-500,minis,0.08602150537634409
$250-500,other_phys,0.12903225806451613
$500+,apparel,0.06976744186046512
$500+,art,0.1744186046511628
$500+,cards,0.20930232558139536
$500+,dice,0.18604651162790697
$500+,gm_screen,0.12209302325581395
$500+,map,0.1744186046511628
$500+,minis,0.09883720930232558
$500+,other_phys,0.1744186046511628
