model,sample,term,est,se,p,n,note
tier,ALL (pooled),bundle_breadth,0.04380913849245857,0.017717206558582266,0.013811812237719677,3427,"breadth alone, linear price"
tier,ALL (pooled),bundle_breadth,0.08730991298805957,0.014976267339099734,1.119353172301365e-8,3427,"breadth alone, quadratic price"
tier,ALL (pooled),bundle_breadth,0.11640878132598885,0.015506235706978707,3.7549327545497147e-13,3427,"breadth alone, spline price (df=4)"
tier,ALL (pooled),bundle_breadth,0.1272247873353734,0.01945475352818724,1.971255647959498e-10,2579,"breadth alone, spline price, extremes dropped"
tier,ALL (pooled),n_items,0.07008692307573824,0.008688083813180713,7.902322604530521e-15,3427,"item COUNT alone, spline price"
tier,ALL (pooled),n_items,0.08089370034057812,0.01254537104095966,3.406683814350654e-10,2579,"item COUNT alone, extremes dropped"
tier,ALL (pooled),n_items,0.06966848650429629,0.011172906559422059,1.1143453005418115e-9,3427,"HORSE RACE: item count, breadth held fixed"
tier,ALL (pooled),bundle_breadth,0.0022111557445358004,0.0239227141567851,0.9264019104702819,3427,"HORSE RACE: breadth, item count held fixed"
tier,ALL (pooled),n_items,0.06145510306623623,0.01470219284359204,5.3171124343626896e-5,1084,"item count, EARLY snapshots (<90% elapsed)"
tier,ALL (pooled),n_items,0.07697312080017912,0.008947275258886703,5.503545891490847e-16,2343,"item count, LATE snapshots (>=90% elapsed)"
tier,expansion ($19.1-68.6k),bundle_breadth,0.12109376187601922,0.02279956446963112,2.2664693219476548e-7,2138,"breadth alone, spline price (df=4)"
tier,expansion ($19.1-68.6k),n_items,0.06416138650086267,0.011818614564256062,1.2569593182118998e-7,2138,"item COUNT alone, spline price"
tier,expansion ($19.1-68.6k),n_items,0.06959781597756498,0.015409298872481743,9.707817638661414e-6,1576,"item COUNT alone, extremes dropped"
tier,expansion ($19.1-68.6k),n_items,0.05887618518283321,0.013504282928434462,1.848169186977465e-5,2138,"HORSE RACE: item count, breadth held fixed"
tier,expansion ($19.1-68.6k),bundle_breadth,0.03770162647807276,0.030610203386584937,0.21913666910629495,2138,"HORSE RACE: breadth, item count held fixed"
tier,top decile (>=$68.6k),bundle_breadth,0.10299705283929125,0.020752833679282174,2.012022085114343e-6,1274,"breadth alone, spline price (df=4)"
tier,top decile (>=$68.6k),n_items,0.07402945038000282,0.012637002526878608,3.271750227555194e-8,1274,"item COUNT alone, spline price"
tier,top decile (>=$68.6k),n_items,0.08826522920799545,0.019869793453000086,1.8658326179790554e-5,992,"item COUNT alone, extremes dropped"
tier,top decile (>=$68.6k),n_items,0.08848138132494594,0.015645286751016597,8.60806114585595e-8,1274,"HORSE RACE: item count, breadth held fixed"
tier,top decile (>=$68.6k),bundle_breadth,-0.05870780738467205,0.028358588656823194,0.04029830615825822,1274,"HORSE RACE: breadth, item count held fixed"
