band,pband,rev,share
<$50k,<$25,1103673.52,0.14883514842715745
<$50k,$25-50,2379753.99,0.3209201198573381
<$50k,$50-100,2336233.26,0.3150511611554855
<$50k,$100-500,1458975.47,0.1967491533447607
<$50k,$500+,136772.9,0.018444417215258333
$50-100k,<$25,760129.92,0.08796786078771233
$50-100k,$25-50,1960324.82,0.2268632984009592
$50-100k,$50-100,3129846.37,0.3622089889095364
$50-100k,$100-500,2647596.87,0.3063995071818025
$50-100k,$500+,143097.87,0.016560344719989652
$100-250k,<$25,795419.02,0.043116018614560374
$100-250k,$25-50,2793516.62,0.15142372958092426
$100-250k,$50-100,6746166.14,0.36567873982842014
$100-250k,$100-500,7712704.72,0.4180703653228303
$100-250k,$500+,400534.64,0.02171114665326489
$250k+,<$25,537540.25,0.011989745642874895
$250k+,$25-50,3468718.29,0.07736918305910666
$250k+,$50-100,11096896.42,0.24751442427079465
$250k+,$100-500,28053779.52,0.6257348743021438
$250k+,$500+,1676397.77,0.037391772725080014
