id,name,n_tiers,entry_price,top_price,median_price,tier_rev,tier_backers,top_tier_rev_share,hhi_rev,whale_rev_share,money_max_price
1069659,"Alas for the Awful Sea: Myth, Mystery & Crime in 1800s UK",6,10.61,265.17,61.75,17443.39,755,0.030403493816282275,0.3100393258297292,0.030403493816282275,20.46
1686361,Cat's Cradle: A Fantasy Town for 5e and Other RPG Systems,6,24,135,56,30333,629,0.05785777865690832,0.47223943003309105,0,60
10791117,Tachyon Squadron (Fate Core RPG),5,1,50,25,17848,1011,0.016808606006275213,0.42989748985456355,0,25
17763060,Space: 1889 - the Mars sourcebook,10,1.17,308.79,84.47999999999999,29135.15,557,0.07418976734288309,0.21166592688993785,0.29015982412995983,40.78
19327102,Trudvang: Seed of Vanirs,12,21.04,204.38,72.13,89382.07,1202,0.12347577092363154,0.12436325148903817,0,54.1
22332279,World of Revilo Campaign Setting & Bestiary for 5E DND.,11,12,400,50,31881,590,0.025093315768012294,0.22909682635681194,0.025093315768012294,175
22451171,"Faerie Fire, a 5e supplemental",30,15,1000,250,36565,1145,0,0.4183863494760066,0.03008341309995898,30
31978058,The Thundercats Roleplaying Game is Here!,11,40,350,180,211095,2036,0.0232122977806201,0.14800820153245758,0.2168691821217935,280
40736229,Age of Antiquity: An Ancient World Setting for 5E.,4,25,250,60,110005,2063,0.04545247943275306,0.3877142793057774,0.04545247943275306,75
53568325,Wicked Ones,3,19.87,46.22,39.75,38368,1124,0.1204649708090075,0.5349572683963814,0,39.75
59430470,Sandy Petersen's Cthulhu Mythos for 5e,8,19,1700,87.5,222498,4250,0,0.3372156770226726,0,49
60275424,Trilemma Adventures: The Servants of Memory,8,8.95,58.92,22.375,12588.28,402,0.5991096480218108,0.39955335421414445,0,58.92
63683551,The Wildsea RPG,11,12,500,88,85905,1705,0.005820382981200163,0.23336140891494794,0.03492229788720098,49
65171718,Arium RPG,3,8,200,20,12368,763,0.04851228978007762,0.6240893747416443,0,20
