id,name,pledged,tier_rev,rev_cov
19327102,Trudvang: Seed of Vanirs,148886.0993484315,89382.07,0.6003385835961967
31978058,The Thundercats Roleplaying Game is Here!,321939,211095,0.6556987503843896
40736229,Age of Antiquity: An Ancient World Setting for 5E.,163105.5,110005,0.6744407760621193
59430470,Sandy Petersen's Cthulhu Mythos for 5e,231279.88,222498,0.9620292089394028
63683551,The Wildsea RPG,135840,85905,0.632398409893993
69845919,Hundreds of New Monsters for Shadowdark RPG!,312229,198806,0.6367313734470533
75749337,Kamigakari: God Hunters - Modern Action Anime Roleplaying,79485,69297,0.871824872617475
79428668,The Dark Moon Rises,261262.86628632,192170.48,0.7355445598970001
83121044,ACUTE PARANOIA: A box full of treason and summary executions,91370.99920305,88289.98,0.966280119185266
88939782,Lairs & Legends 3: The Definitive 5e Game Master Collection,208681,125860,0.603121510822739
91289943,Your Best Game Ever!,581673,492945,0.8474606866744717
100177985,Heart: The City Beneath RPG,124224.31524996,90545.15,0.7288842753353728
103372532,Advanced Player's Guide 2 and Bestiary 2,154135,134355,0.8716709378142538
120834240,Rōnin: Densetsu,187426.60032124,105926.75,0.5651639085297752
124987664,Shadows of Esteren RPG: Dark Romanticism,136333,98980,0.7260164450279829
138222945,Thirsty Sword Lesbians,298568,182057,0.6097672891937516
141214470,The Smurfs: Roleplaying Game,137375,124951,0.9095614194722474
147748820,Heroes of Might and Magic TTRPG,236221.14137895,186623.73,0.7900382197400995
162898685,Ultimate Kingdoms for DnD 5E or PFRPG,71163,59459,0.835532509871703
164422068,Tales from the Loop - Roleplaying in the '80s That Never Was,406297.71062496,254885.3,0.6273362938913436
186851036,Fate of Cthulhu,93894,67749,0.7215477027286089
194038714,A Strange Box,162819,157180,0.9653664498615027
207976437,"Eldamon! Befriend, Train, Battle, & Evolve in DnD 5E & PF2e",237080,145854,0.6152100556774085
212538961,SIN: A Spire RPG Sourcebook,128192.9042082,71636.76,0.5588200099098596
215582290,Beyond the Woods: Open World Exploration and Survival for 5e,226165.82132917,166818.28,0.7375927937281318
220682271,Mutant Chronicles 3rd Ed. RPG,249255.316697068,90910,0.36472642270851663
221664601,Adventures in Teaching and Learning with TTRPGs:,81493,64185,0.7876136600689629
223582974,Good Society: A Jane Austen Roleplaying Game,123765.4129220992,96815.98,0.7822539246965402
226200089,Aizendore's Vault of Tragic Treasure - Magic Items for 5e,110538.0135989754,86211.79000000001,0.7799288877468947
227616328,Soldier Lune – A Magical Girl Tabletop Role-Playing Game,71968,51230,0.7118441529568698
228757397,Battlezoo Ancestries: Living Legends for Pathfinder and 5E,123082,81237,0.6600233990347898
231163492,Robert E. Howard's Conan Roleplaying Game,634208.728026822,401683,0.6333608830167534
237602901,Demon City: The Ultimate Horror RPG,74183,67030,0.9035762910639904
240140839,World of Darkness Dark Eras Prestige Edition,128290.87,107044,0.8343851748764352
259723232,Project Infinite Hole: An R&D Sourcebox for the Paranoia RPG,91134.13662056,87137.75,0.9561483021757358
284826702,Inferno - Dante's Guide to Hell for 5e,491058.9509112,360539.99,0.7342091806513018
288262956,ZAMANORA: Ballad of the Witch,316168.94816505,196467.44999999998,0.6214002075163874
294405663,Nights of Payne Town: a new story arc for City of Mist RPG!,182969.8,136452,0.7457624154368645
296599506,Trinity Continuum: Aberrant,125098,82825,0.6620809285520152
310423733,Dungeon Notes,101647,67762,0.6666404320835834
