id,name,blurb,cat_name,ttrpg_label,ttrpg_matched,hand_label
95666221,No more random magic items.,100+ Unique Magic items for your RPG games! full dnd 5e compatible!!,Tabletop Games,ttrpg,"core:5e,rpg;system:dnd",ttrpg
1664493181,Influence,Influence is a 2-6 player tactical card game where players conquer Castles to build Power while also out-witting their opponents!,Tabletop Games,nontt,boardcard:card game,nontt
315591549,Fantasy Boardgames Print & Play Collection,FunDaMental Games Print & Play Fantasy Board & Card Games. PnP & Physical copies available!,Tabletop Games,nontt,boardcard:card game,nontt
1473188033,The Black Lotus of Thalarion: A D&D 5e Dreamlands Adventure,The heroes are sent into the Dreamlands to seek the black lotus of Thalarion. A Mythos D&D 5e adventure for level 5-7 characters.,Tabletop Games,ttrpg,core:5e;system:d&d,ttrpg
1763561407,Braiiiins! ...it will not die!,"Braiiiins! will not die!  Be the zombie, attack the residents of Risington, and start the apocalypse!",Tabletop Games,nontt,,nontt
2109334665,Proxy's Eldar Knights 10th Edition Index Campaign,"A fully compatible unofficial Eldar Knights index fully compatible with 10th edition including rules, lore, and artwork!",Tabletop Games,nontt,,nontt
1368690828,"Amazing Encounters & Places, Vol 1 (5e)","A 5e supplement with  56 encounters in 8 drop-in locations, overarching plots tying them together, and all supported by 64 maps.",Tabletop Games,ttrpg,core:5e,ttrpg
1657061606,AZIMUTH: Ride The Winds,"2-4 player game of shrewd tactics, endurance and wit. You awake adrift at sea, reach your lighthouse in time or become food for sharks.",Tabletop Games,nontt,,nontt
592356749,Medieval houses part-3,STL 3D Printing Medieval Architecture Tabletop Gaming Miniatures 3D Printable Models Fantasy Settings Diorama RPG Accessories,Tabletop Games,accessory,"core:rpg;acc_strong:3d print,miniature,stl",accessory
746850961,100 Magical Potions – Digital Item Cards for D&D,"A treasure of potions for your adventures! Enhance your D&D games with beautifully designed digital item cards, 100 unique potions",Tabletop Games,ttrpg,system:d&d,ttrpg
1687932731,Heroes of the Arena,Dynamic Tournament Games for D&D and PF2,Tabletop Games,ttrpg,system:d&d,ttrpg
2006505433,Ranmai,Sengoku Card Game,Tabletop Games,nontt,boardcard:card game,nontt
1242138379,The Infernal Tome: A 5e Guide To Hell,"A DnD 5e guidebook for infernal adventures! New character options, systems to use in hell, a complete demonic bestiary and much more!",Tabletop Games,ttrpg,"core:5e,bestiary;system:dnd",ttrpg
1746964170,Designers & Dragons,"Help fund the printing of Designers and Dragons, Shannon Appelcline's comprehensive, 4-volume history of the roleplaying game industry!",Tabletop Games,ttrpg,core:roleplaying game,nontt
437873264,"Anti-Hero: Supers, Forged in the Dark.",A Dark & Gritty Super(anti-)hero roleplaying game based on Forged in the Dark.,Tabletop Games,ttrpg,"core:forged in the dark,roleplaying game",ttrpg
1271183066,Cthulhu Hack RPG Second Edition,The award-winning tabletop roleplaying game of Investigation and Revelation in Lovecraft's Dark Universe,Tabletop Games,ttrpg,"core:rpg,tabletop role",ttrpg
780887199,Forgotten Lore: Celtic One-Shots,Ready-to-Play D&D 5e One-Page One-Shots Inspired by Ancient Ireland,Tabletop Games,ttrpg,"core:5e,one-shot;system:d&d",ttrpg
1047841986,SOLO BORG: Play MÖRK BORG on your own,"Standalone single-player rules for bleak, brutal fantasy roleplaying — with tools for worldbuilding, quests, and desperate choices.",Tabletop Games,ttrpg,core:roleplay;system:mörk borg,ttrpg
