id,name,blurb,ttrpg_label
1463633842,"Arkham, Lovecraft and Cthulhu for Fate Core and Accelerated","Deep below the city of Arkham, Massachusetts unnamed horrors sleep, waiting for the day that they reawaken and reclaim their world.",ttrpg
953254645,Ancient Undead Spider Wizard,"A limited press 7"" EP wrapped in a rules light dungeon crawl.",ttrpg
1191802716,No Soul Left Behind,"A full-length, 10-adventure campaign for BETTER ANGELS, the tabletop RPG of demon-possessed supervillainy.",ttrpg
1716354821,JUNGLE BASTION - 28/32 mm,"STL files, usable with 28/32 mm figurines, Wargames",other_accessory
1646086851,Darren Watts's Golden Age Champions,"The long-awaited Champions supplement for the Golden Age of Superheroes from 1938 to 1950, by longtime Hero writer Darren Watts!.",ttrpg
836972780,Dwarven Dice Gazebo and Dice Tray,A charming collection of dice cages and a dice tray in a style inspired by dwarves! Available as physical prints or STL files!,other_accessory
165180109,#SocialDevastation: The Social Experiment Card Game,The card game that could devastate your social life.,nontt
1976397558,World of Pratheron : Great naval battles for glory 2,"3D Printable STL Files, Terrain for Tabletop, Miniature, Role Playing Games, Wargames and RPG's",ttrpg_accessory
386510428,COLLATERAL,"COLLATERAL: Roll and write - adventure - print and play game. Manage your tribe, explore the 5 regions and defeat the Collateral!",nontt
1871734623,Scrumpit,"SCRUMPIT is a word formation game for 2, 3, or 4 players involving wit, tactics, killer instinct and strategy.",nontt
1628757307,Splendid Souvenirs: Magic Items for 5e and Advanced 5e,"Hundreds of magic items, rare spells, and expanded mechanics to reward your players.",ttrpg
1783720378,Disco Royale: The Competitive DJ Card Game,Step into the DJ Booth. Read the crowd and use strategy to play the best set of the night to win the Dancefloor.,nontt
1419797133,Hens,Breed a barnyard of prize-winning hens in this puzzly abstract game.,nontt
235579861,"Rave Realm: a fast paced, EDM inspired trading card game.","Rave Realm is designed for 2–8 players. Players can win by collecting Kandi, building their crew, or attacking opponents directly.",nontt
1285418364,Tiny Epic Kingdoms edizione italiana,Il famoso microgioco 4x di strategia per 2-5 giocatori finalmente in italiano! Riuscirai a creare il più grande regno tascabile?,nontt
1493082755,Legendary Metal Coins season 8- A decade of coins,Legendary Metal Coins are back for season 8 with brand new designs for high quality gaming coins. More than 50 thematic coin sets!,nontt
657787956,Tangerine Nightmare: Presidential Election Adventure Set,"Want to play with your own static cling Adventure Set starring the ultimate supervillain, Tangerine Nightmare? Now you can!",nontt
1256592086,Game Card Holder With Discard Slot,This is fantastic cardholder that works great with any board game with cards. A must have for avid and casual gamers alike!,nontt
1192863415,The MetalHalls - A 3D-Printable terrain system,Metal Halls is the first set within the all new Cy-28 range from Cy-Tilez A Modular 3D-printable terrain system for Tabletop gaming.,other_accessory
512918800,Starclash: An RTS Style Sci-Fi Strategy Game for 1-8 Players,A deep and easy to learn tactical battle where you stay engaged because it's already your turn again!,nontt
1835251238,Beasts of Balance: Rebirth,The Jenga-meets-Pokemon connected stacking game!,nontt
1211924905,Shadows: Heroes & Monsters - 2nd Edition,The Original PvPvE Deck-Building Card Game – A Thrilling Game of Wits in a Fantasy Dungeon!,nontt
