year,group,feb_premium
2015,RPG,0.10706345555273744
2015,non-RPG tabletop,-0.07106112622027982
2016,RPG,0.30912692173104306
2016,non-RPG tabletop,0.13174051814926813
2017,RPG,-0.2652789420263546
2017,non-RPG tabletop,-0.21601780634374812
2018,RPG,-0.05781491669839722
2018,non-RPG tabletop,0.07246587883303057
2019,RPG,0.948815952029249
2019,non-RPG tabletop,0.14989262752813648
2020,RPG,1.6668755256768932
2020,non-RPG tabletop,0.45363440321919146
2021,RPG,2.7517713160492105
2021,non-RPG tabletop,1.8659485545657404
2022,RPG,1.5879243880350669
2022,non-RPG tabletop,1.0681402949939391
2023,RPG,NA
2023,non-RPG tabletop,NA
2024,RPG,0.6506093752388793
2024,non-RPG tabletop,0.07131325209083261
2025,RPG,0.9691575505120378
2025,non-RPG tabletop,0.2703561075843979
2026,RPG,3.9914144670989065
2026,non-RPG tabletop,3.5559528740759783
